,0 BR,1 BR,2 BR,3 BR,4 BR,Est. Population
2006,$715,$781,$911,"$1,294","$1,512","1,709,434"
2007,$765,$835,$974,"$1,383","$1,617","1,709,434"
2008,$896,$979,"$1,142","$1,622","$1,896","1,709,434"
2009,$867,$954,"$1,125","$1,583","$1,846","1,709,434"
2010,$854,$940,"$1,108","$1,559","$1,818","1,709,434"
2011,$882,$970,"$1,144","$1,610","$1,877","1,709,434"
2012,$886,$974,"$1,149","$1,617","$1,886","1,709,434"
2013,$763,$879,"$1,116","$1,577","$1,924","2,035,210"
2014,$766,$882,"$1,120","$1,582","$1,930","2,035,210"
2015,$788,$908,"$1,153","$1,629","$1,987","2,035,210"
2016,$798,$945,"$1,187","$1,672","$2,056","2,035,210"
2017,$800,$957,"$1,197","$1,682","$2,072","2,035,210"
2018,$768,$926,"$1,156","$1,618","$2,004","2,035,210"
2019,$826,$986,"$1,232","$1,717","$2,132","2,035,210"
2020,$875,"$1,030","$1,289","$1,789","$2,216","2,121,220"
2021,$955,"$1,106","$1,390","$1,917","$2,369","2,121,220"
