,0 BR,1 BR,2 BR,3 BR,4 BR,Est. Population
2006,$437,$493,$606,$882,$944,"78,930"
2007,$452,$510,$627,$912,$976,"78,930"
2008,$510,$575,$707,"$1,029","$1,101","78,930"
2009,$534,$602,$740,"$1,077","$1,152","78,930"
2010,$550,$620,$763,"$1,110","$1,188","78,930"
2011,$564,$636,$782,"$1,138","$1,218","78,930"
2012,$618,$697,$857,"$1,247","$1,334","78,930"
2013,$526,$634,$812,"$1,173","$1,389","94,737"
2014,$512,$617,$790,"$1,142","$1,351","94,737"
2015,$551,$664,$850,"$1,228","$1,454","94,737"
2016,$628,$661,$861,"$1,255","$1,503","94,737"
2017,$663,$679,$886,"$1,290","$1,561","94,737"
2018,$674,$678,$887,"$1,290","$1,562","94,737"
2019,$670,$674,$878,"$1,269","$1,542","94,737"
2020,$838,$844,"$1,087","$1,568","$1,908","95,585"
2021,$875,$881,"$1,122","$1,606","$1,943","95,585"
